,#,Name,Type,HP,ATK,DEF,SP.ATK,SP.DEF,SPEED,Icon
219,178,Xatu,"['Flying', 'Psychic']",65,75,70,95,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png
220,179,Mareep,Electric,55,40,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png
221,180,Flaaffy,Electric,70,55,55,80,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png
222,181,Ampharos,Electric,90,75,85,115,90,55,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png
223,181,Mega Ampharos,"['Dragon', 'Electric']",90,95,105,165,110,45,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png
224,182,Bellossom,Grass,75,80,95,90,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png
225,183,Marill,"['Fairy', 'Water']",70,20,50,20,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png
226,184,Azumarill,"['Fairy', 'Water']",100,50,80,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png
227,185,Sudowoodo,Rock,70,100,115,30,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png
228,186,Politoed,Water,90,75,75,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png
229,187,Hoppip,"['Flying', 'Grass']",35,35,40,35,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png
230,188,Skiploom,"['Flying', 'Grass']",55,45,50,45,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png
231,189,Jumpluff,"['Flying', 'Grass']",75,55,70,55,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png
232,190,Aipom,Normal,55,70,55,40,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png
233,191,Sunkern,Grass,30,30,30,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png
234,192,Sunflora,Grass,75,75,55,105,85,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png
235,193,Yanma,"['Flying', 'Bug']",65,65,45,75,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png
236,194,Wooper,"['Ground', 'Water']",55,45,45,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png
237,195,Quagsire,"['Ground', 'Water']",95,85,85,65,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png
238,196,Espeon,Psychic,65,65,60,130,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png
239,197,Umbreon,Dark,95,65,110,60,130,65,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png
240,198,Murkrow,"['Flying', 'Dark']",60,85,42,85,42,91,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png
241,199,Slowking,"['Psychic', 'Water']",95,75,80,100,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png
242,200,Misdreavus,Ghost,60,60,60,85,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png
243,201,Unown,Psychic,48,72,48,72,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png
244,202,Wobbuffet,Psychic,190,33,58,33,58,33,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png
245,203,Girafarig,"['Psychic', 'Normal']",70,80,65,90,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png
246,204,Pineco,Bug,50,65,90,35,35,15,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png
247,205,Forretress,"['Steel', 'Bug']",75,90,140,60,60,40,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png
248,206,Dunsparce,Normal,100,70,70,65,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png
249,207,Gligar,"['Flying', 'Ground']",65,75,105,35,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png
250,208,Steelix,"['Ground', 'Steel']",75,85,200,55,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png
251,208,Mega Steelix,"['Ground', 'Steel']",75,125,230,55,95,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png
252,209,Snubbull,Fairy,60,80,50,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png
253,210,Granbull,Fairy,90,120,75,60,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png
254,211,Qwilfish,"['Poison', 'Water']",65,95,85,55,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png
255,212,Scizor,"['Steel', 'Bug']",70,130,100,55,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png
256,212,Mega Scizor,"['Steel', 'Bug']",70,150,140,65,100,75,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png
257,213,Shuckle,"['Rock', 'Bug']",20,10,230,10,230,5,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png
258,214,Heracross,"['Fighting', 'Bug']",80,125,75,40,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png
259,214,Mega Heracross,"['Fighting', 'Bug']",80,185,115,40,105,75,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png
260,215,Sneasel,"['Ice', 'Dark']",55,95,55,35,75,115,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png
261,216,Teddiursa,Normal,60,80,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png
262,217,Ursaring,Normal,90,130,75,75,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png
263,218,Slugma,Fire,40,40,40,70,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png
264,219,Magcargo,"['Rock', 'Fire']",60,50,120,90,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png
265,220,Swinub,"['Ground', 'Ice']",50,50,40,30,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png
266,221,Piloswine,"['Ground', 'Ice']",100,100,80,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png
267,222,Corsola,"['Rock', 'Water']",65,55,95,65,95,35,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png
268,222,Galarian Corsola,Ghost,60,55,100,65,100,30,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png
269,223,Remoraid,Water,35,65,35,65,35,65,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png
270,224,Octillery,Water,75,105,75,105,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png
271,225,Delibird,"['Flying', 'Ice']",45,55,45,65,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png
272,226,Mantine,"['Flying', 'Water']",85,40,70,80,140,70,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png
273,227,Skarmory,"['Flying', 'Steel']",65,80,140,40,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png
274,228,Houndour,"['Fire', 'Dark']",45,60,30,80,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png
275,229,Houndoom,"['Fire', 'Dark']",75,90,50,110,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png
276,229,Mega Houndoom,"['Fire', 'Dark']",75,90,90,140,90,115,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png
277,230,Kingdra,"['Dragon', 'Water']",75,95,95,95,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png
278,231,Phanpy,Ground,90,60,60,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png
279,232,Donphan,Ground,90,120,120,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png
280,233,Porygon2,Normal,85,80,90,105,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png
281,234,Stantler,Normal,73,95,62,85,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png
282,235,Smeargle,Normal,55,20,35,20,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png
283,236,Tyrogue,Fighting,35,35,35,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png
284,237,Hitmontop,Fighting,50,95,95,35,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png
285,238,Smoochum,"['Psychic', 'Ice']",45,30,15,85,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png
286,239,Elekid,Electric,45,63,37,65,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png
287,240,Magby,Fire,45,75,37,70,55,83,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png
288,241,Miltank,Normal,95,80,105,40,70,100,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png
289,242,Blissey,Normal,255,10,10,75,135,55,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png
290,243,Raikou,Electric,90,85,75,115,100,115,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png
291,244,Entei,Fire,115,115,85,90,75,100,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png
292,245,Suicune,Water,100,75,115,90,115,85,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png
293,246,Larvitar,"['Ground', 'Rock']",50,64,50,45,50,41,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png
294,247,Pupitar,"['Ground', 'Rock']",70,84,70,65,70,51,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png
295,248,Tyranitar,"['Dark', 'Rock']",100,134,110,95,100,61,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png
296,248,Mega Tyranitar,"['Dark', 'Rock']",100,164,150,95,120,71,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png
297,249,Lugia,"['Flying', 'Psychic']",106,90,130,90,154,110,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png
298,250,Ho-oh,"['Flying', 'Fire']",106,130,90,110,154,90,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png
299,251,Celebi,"['Grass', 'Psychic']",100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png
300,252,Treecko,Grass,40,45,35,65,55,70,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png
301,253,Grovyle,Grass,50,65,45,85,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png
302,254,Sceptile,Grass,70,85,65,105,85,120,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png
303,254,Mega Sceptile,"['Dragon', 'Grass']",70,110,75,145,85,145,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png
304,255,Torchic,Fire,45,60,40,70,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png
305,256,Combusken,"['Fighting', 'Fire']",60,85,60,85,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png
306,257,Blaziken,"['Fighting', 'Fire']",80,120,70,110,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png
307,257,Mega Blaziken,"['Fighting', 'Fire']",80,160,80,130,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png
308,258,Mudkip,Water,50,70,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png
309,259,Marshtomp,"['Ground', 'Water']",70,85,70,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png
310,260,Swampert,"['Ground', 'Water']",100,110,90,85,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png
311,260,Mega Swampert,"['Ground', 'Water']",100,150,110,95,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png
312,261,Poochyena,Dark,35,55,35,30,30,35,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png
313,262,Mightyena,Dark,70,90,70,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png
314,263,Zigzagoon,Normal,38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png
315,263,Galarian Zigzagoon,"['Normal', 'Dark']",38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png
316,264,Linoone,Normal,78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png
317,264,Galarian Linoone,"['Normal', 'Dark']",78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png
318,265,Wurmple,Bug,45,45,35,20,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png
319,266,Silcoon,Bug,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png
320,267,Beautifly,"['Flying', 'Bug']",60,70,50,100,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png
321,268,Cascoon,Bug,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png
322,269,Dustox,"['Poison', 'Bug']",60,50,70,50,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png
323,270,Lotad,"['Grass', 'Water']",40,30,30,40,50,30,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png
324,271,Lombre,"['Grass', 'Water']",60,50,50,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png
325,272,Ludicolo,"['Grass', 'Water']",80,70,70,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png
326,273,Seedot,Grass,40,40,50,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png
327,274,Nuzleaf,"['Dark', 'Grass']",70,70,40,60,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png
328,275,Shiftry,"['Dark', 'Grass']",90,100,60,90,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png
329,276,Taillow,"['Flying', 'Normal']",40,55,30,30,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png
330,277,Swellow,"['Flying', 'Normal']",60,85,60,75,50,125,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png
331,278,Wingull,"['Flying', 'Water']",40,30,30,55,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png
332,279,Pelipper,"['Flying', 'Water']",60,50,100,95,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png
333,280,Ralts,"['Fairy', 'Psychic']",28,25,25,45,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png
334,281,Kirlia,"['Fairy', 'Psychic']",38,35,35,65,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png
335,282,Gardevoir,"['Fairy', 'Psychic']",68,65,65,125,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png
336,282,Mega Gardevoir,"['Fairy', 'Psychic']",68,85,65,165,135,100,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir-mega.png
337,283,Surskit,"['Water', 'Bug']",40,30,32,50,52,65,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png
338,284,Masquerain,"['Flying', 'Bug']",70,60,62,100,82,80,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png
339,285,Shroomish,Grass,60,40,60,40,60,35,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png
340,286,Breloom,"['Fighting', 'Grass']",60,130,80,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png
341,287,Slakoth,Normal,60,60,60,35,35,30,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png
342,288,Vigoroth,Normal,80,80,80,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png
343,289,Slaking,Normal,150,160,100,95,65,100,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png
344,290,Nincada,"['Ground', 'Bug']",31,45,90,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png
345,291,Ninjask,"['Flying', 'Bug']",61,90,45,50,50,160,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png
346,292,Shedinja,"['Ghost', 'Bug']",1,90,45,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png
347,293,Whismur,Normal,64,51,23,51,23,28,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png
348,294,Loudred,Normal,84,71,43,71,43,48,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png
349,295,Exploud,Normal,104,91,63,91,73,68,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png
350,296,Makuhita,Fighting,72,60,30,20,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png
351,297,Hariyama,Fighting,144,120,60,40,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png
352,298,Azurill,"['Fairy', 'Normal']",50,20,40,20,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png
353,299,Nosepass,Rock,30,45,135,45,90,30,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png
354,300,Skitty,Normal,50,45,45,35,35,50,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png
355,301,Delcatty,Normal,70,65,65,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png
356,302,Sableye,"['Ghost', 'Dark']",50,75,75,65,65,50,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png
357,302,Mega Sableye,"['Ghost', 'Dark']",50,85,125,85,115,20,https://img.pokemondb.net/sprites/sword-shield/icon/sableye-mega.png
358,303,Mawile,"['Fairy', 'Steel']",50,85,85,55,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png
359,303,Mega Mawile,"['Fairy', 'Steel']",50,105,125,55,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile-mega.png
360,304,Aron,"['Rock', 'Steel']",50,70,100,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/aron.png
361,305,Lairon,"['Rock', 'Steel']",60,90,140,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png
362,306,Aggron,"['Rock', 'Steel']",70,110,180,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png
363,306,Mega Aggron,Steel,70,140,230,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron-mega.png
364,307,Meditite,"['Psychic', 'Fighting']",30,40,55,40,55,60,https://img.pokemondb.net/sprites/sword-shield/icon/meditite.png
365,308,Medicham,"['Psychic', 'Fighting']",60,60,75,60,75,80,https://img.pokemondb.net/sprites/sword-shield/icon/medicham.png
366,308,Mega Medicham,"['Psychic', 'Fighting']",60,100,85,80,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/medicham-mega.png
367,309,Electrike,Electric,40,45,40,65,40,65,https://img.pokemondb.net/sprites/sword-shield/icon/electrike.png
368,310,Manectric,Electric,70,75,60,105,60,105,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png
369,310,Mega Manectric,Electric,70,75,80,135,80,135,https://img.pokemondb.net/sprites/sword-shield/icon/manectric-mega.png
370,311,Plusle,Electric,60,50,40,85,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/plusle.png
371,312,Minun,Electric,60,40,50,75,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/minun.png
372,313,Volbeat,Bug,65,73,75,47,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/volbeat.png
373,314,Illumise,Bug,65,47,75,73,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/illumise.png
374,315,Roselia,"['Poison', 'Grass']",50,60,45,100,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/roselia.png
375,316,Gulpin,Poison,70,43,53,43,53,40,https://img.pokemondb.net/sprites/sword-shield/icon/gulpin.png
376,317,Swalot,Poison,100,73,83,73,83,55,https://img.pokemondb.net/sprites/sword-shield/icon/swalot.png
377,318,Carvanha,"['Dark', 'Water']",45,90,20,65,20,65,https://img.pokemondb.net/sprites/sword-shield/icon/carvanha.png
378,319,Sharpedo,"['Dark', 'Water']",70,120,40,95,40,95,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo.png
379,319,Mega Sharpedo,"['Dark', 'Water']",70,140,70,110,65,105,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo-mega.png
380,320,Wailmer,Water,130,70,35,70,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailmer.png
381,321,Wailord,Water,170,90,45,90,45,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailord.png
382,322,Numel,"['Ground', 'Fire']",60,60,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/numel.png
383,323,Camerupt,"['Ground', 'Fire']",70,100,70,105,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt.png
384,323,Mega Camerupt,"['Ground', 'Fire']",70,120,100,145,105,20,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt-mega.png
385,324,Torkoal,Fire,70,85,140,85,70,20,https://img.pokemondb.net/sprites/sword-shield/icon/torkoal.png
386,325,Spoink,Psychic,60,25,35,70,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/spoink.png
387,326,Grumpig,Psychic,80,45,65,90,110,80,https://img.pokemondb.net/sprites/sword-shield/icon/grumpig.png
388,327,Spinda,Normal,60,60,60,60,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/spinda.png
389,328,Trapinch,Ground,45,100,45,45,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/trapinch.png
390,329,Vibrava,"['Dragon', 'Ground']",50,70,50,50,50,70,https://img.pokemondb.net/sprites/sword-shield/icon/vibrava.png
391,330,Flygon,"['Dragon', 'Ground']",80,100,80,80,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/flygon.png
392,331,Cacnea,Grass,50,85,40,85,40,35,https://img.pokemondb.net/sprites/sword-shield/icon/cacnea.png
393,332,Cacturne,"['Dark', 'Grass']",70,115,60,115,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/cacturne.png
394,333,Swablu,"['Flying', 'Normal']",45,40,60,40,75,50,https://img.pokemondb.net/sprites/sword-shield/icon/swablu.png
395,334,Altaria,"['Flying', 'Dragon']",75,70,90,70,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png
396,334,Mega Altaria,"['Fairy', 'Dragon']",75,110,110,110,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria-mega.png
397,335,Zangoose,Normal,73,115,60,60,60,90,https://img.pokemondb.net/sprites/sword-shield/icon/zangoose.png
398,336,Seviper,Poison,73,100,60,100,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/seviper.png
399,337,Lunatone,"['Psychic', 'Rock']",90,55,65,95,85,70,https://img.pokemondb.net/sprites/sword-shield/icon/lunatone.png
400,338,Solrock,"['Psychic', 'Rock']",90,95,85,55,65,70,https://img.pokemondb.net/sprites/sword-shield/icon/solrock.png
401,339,Barboach,"['Ground', 'Water']",50,48,43,46,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/barboach.png
402,340,Whiscash,"['Ground', 'Water']",110,78,73,76,71,60,https://img.pokemondb.net/sprites/sword-shield/icon/whiscash.png
403,341,Corphish,Water,43,80,65,50,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/corphish.png
404,342,Crawdaunt,"['Dark', 'Water']",63,120,85,90,55,55,https://img.pokemondb.net/sprites/sword-shield/icon/crawdaunt.png
405,343,Baltoy,"['Psychic', 'Ground']",40,40,55,40,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/baltoy.png
406,344,Claydol,"['Psychic', 'Ground']",60,70,105,70,120,75,https://img.pokemondb.net/sprites/sword-shield/icon/claydol.png
407,345,Lileep,"['Grass', 'Rock']",66,41,77,61,87,23,https://img.pokemondb.net/sprites/sword-shield/icon/lileep.png
408,346,Cradily,"['Grass', 'Rock']",86,81,97,81,107,43,https://img.pokemondb.net/sprites/sword-shield/icon/cradily.png
409,347,Anorith,"['Bug', 'Rock']",45,95,50,40,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/anorith.png
410,348,Armaldo,"['Bug', 'Rock']",75,125,100,70,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/armaldo.png
411,349,Feebas,Water,20,15,20,10,55,80,https://img.pokemondb.net/sprites/sword-shield/icon/feebas.png
412,350,Milotic,Water,95,60,79,100,125,81,https://img.pokemondb.net/sprites/sword-shield/icon/milotic.png
413,351,Castform,Normal,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform.png
414,351,Sunny Form,Fire,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-sunny.png
415,351,Rainy Form,Water,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-rainy.png
416,351,Snowy Form,Ice,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-snowy.png
417,352,Kecleon,Normal,60,90,70,60,120,40,https://img.pokemondb.net/sprites/sword-shield/icon/kecleon.png
418,353,Shuppet,Ghost,44,75,35,63,33,45,https://img.pokemondb.net/sprites/sword-shield/icon/shuppet.png
419,354,Banette,Ghost,64,115,65,83,63,65,https://img.pokemondb.net/sprites/sword-shield/icon/banette.png
420,354,Mega Banette,Ghost,64,165,75,93,83,75,https://img.pokemondb.net/sprites/sword-shield/icon/banette-mega.png
421,355,Duskull,Ghost,20,40,90,30,90,25,https://img.pokemondb.net/sprites/sword-shield/icon/duskull.png
422,356,Dusclops,Ghost,40,70,130,60,130,25,https://img.pokemondb.net/sprites/sword-shield/icon/dusclops.png
423,357,Tropius,"['Flying', 'Grass']",99,68,83,72,87,51,https://img.pokemondb.net/sprites/sword-shield/icon/tropius.png
424,358,Chimecho,Psychic,75,50,80,95,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/chimecho.png
425,359,Absol,Dark,65,130,60,75,60,75,https://img.pokemondb.net/sprites/sword-shield/icon/absol.png
426,359,Mega Absol,Dark,65,150,60,115,60,115,https://img.pokemondb.net/sprites/sword-shield/icon/absol-mega.png
427,360,Wynaut,Psychic,95,23,48,23,48,23,https://img.pokemondb.net/sprites/sword-shield/icon/wynaut.png
428,361,Snorunt,Ice,50,50,50,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/snorunt.png
429,362,Glalie,Ice,80,80,80,80,80,80,https://img.pokemondb.net/sprites/sword-shield/icon/glalie.png
430,362,Mega Glalie,Ice,80,120,80,120,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/glalie-mega.png
431,363,Spheal,"['Water', 'Ice']",70,40,50,55,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/spheal.png
432,364,Sealeo,"['Water', 'Ice']",90,60,70,75,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/sealeo.png
433,365,Walrein,"['Water', 'Ice']",110,80,90,95,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/walrein.png
434,366,Clamperl,Water,35,64,85,74,55,32,https://img.pokemondb.net/sprites/sword-shield/icon/clamperl.png
435,367,Huntail,Water,55,104,105,94,75,52,https://img.pokemondb.net/sprites/sword-shield/icon/huntail.png
436,368,Gorebyss,Water,55,84,105,114,75,52,https://img.pokemondb.net/sprites/sword-shield/icon/gorebyss.png
437,369,Relicanth,"['Rock', 'Water']",100,90,130,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/relicanth.png
438,370,Luvdisc,Water,43,30,55,40,65,97,https://img.pokemondb.net/sprites/sword-shield/icon/luvdisc.png
439,371,Bagon,Dragon,45,75,60,40,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/bagon.png
440,372,Shelgon,Dragon,65,95,100,60,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/shelgon.png
441,373,Salamence,"['Flying', 'Dragon']",95,135,80,110,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/salamence.png
